Gene WormBase ID	of CLASH identified piRNA target sites
WBGene00001594	0
WBGene00001595	29
WBGene00001596	43
WBGene00001597	27
WBGene00001598	108
WBGene00001599	45
WBGene00001600	11
WBGene00001601	48
WBGene00001602	1
WBGene00001603	5
WBGene00001604	3
WBGene00001606	29
WBGene00001607	40
WBGene00001608	0
WBGene00001609	32
WBGene00001612	0
WBGene00001613	2
WBGene00001614	0
WBGene00001615	2
WBGene00001616	1
WBGene00001617	2
WBGene00001618	0
WBGene00001619	0
WBGene00001620	1
WBGene00001621	0
WBGene00001622	0
WBGene00001623	0
WBGene00001624	1
WBGene00001625	0
WBGene00001626	0
WBGene00001627	1
WBGene00001628	4
WBGene00001629	15
WBGene00001630	10
WBGene00001631	1
WBGene00001632	13
WBGene00001633	0
WBGene00001635	11
WBGene00001636	1
WBGene00001637	4
WBGene00001638	36
WBGene00001639	10
WBGene00001640	0
WBGene00001641	0
WBGene00001642	0
WBGene00001643	0
WBGene00001644	0
WBGene00001645	3
WBGene00001646	0
WBGene00001647	36
WBGene00001648	13
WBGene00001649	2
WBGene00001650	3
WBGene00001651	7
WBGene00001653	41
WBGene00001660	11
WBGene00001661	11
WBGene00001662	13
WBGene00001663	4
WBGene00001664	0
WBGene00001665	0
WBGene00001666	4
WBGene00001667	0
WBGene00001668	0
WBGene00001669	0
WBGene00001670	0
WBGene00001671	0
WBGene00001672	0
WBGene00001673	0
WBGene00001674	0
WBGene00001675	1
WBGene00001676	0
WBGene00001677	3
WBGene00001678	25
WBGene00001679	17
WBGene00001680	4
WBGene00001681	0
WBGene00001682	6
WBGene00001683	66
WBGene00001684	12
WBGene00001685	11
WBGene00001686	58
WBGene00001687	0
WBGene00001688	19
WBGene00001689	14
WBGene00001690	0
WBGene00001691	0
WBGene00001692	1
WBGene00001693	0
WBGene00001694	1
WBGene00001695	0
WBGene00001696	2
WBGene00001697	1
WBGene00001698	1
WBGene00001699	0
WBGene00001700	1
WBGene00001701	0
WBGene00001702	1
WBGene00001703	0
WBGene00001704	0
WBGene00001705	1
WBGene00001707	5
WBGene00001708	9
WBGene00001709	8
WBGene00001710	0
WBGene00001711	0
WBGene00001712	0
WBGene00001713	0
WBGene00001714	1
WBGene00001715	0
WBGene00001716	0
WBGene00001717	0
WBGene00001718	0
WBGene00001719	1
WBGene00001720	0
WBGene00001721	0
WBGene00001722	0
WBGene00001723	0
WBGene00001724	0
WBGene00001725	0
WBGene00001726	0
WBGene00001727	0
WBGene00001728	0
WBGene00001729	0
WBGene00001730	0
WBGene00001731	0
WBGene00001732	0
WBGene00001733	0
WBGene00001734	0
WBGene00001735	6
WBGene00001736	1
WBGene00001737	0
WBGene00001738	1
WBGene00001739	0
WBGene00001740	5
WBGene00001743	9
WBGene00001744	26
WBGene00001745	61
WBGene00001746	9
WBGene00001747	15
WBGene00001748	18
WBGene00001749	14
WBGene00001750	0
WBGene00001751	0
WBGene00001752	0
WBGene00001753	0
WBGene00001754	0
WBGene00001755	14
WBGene00001756	5
WBGene00001757	0
WBGene00001758	0
WBGene00001759	0
WBGene00001760	1
WBGene00001761	0
WBGene00001762	0
WBGene00001763	1
WBGene00001764	3
WBGene00001765	0
WBGene00001766	0
WBGene00001767	0
WBGene00001768	5
WBGene00001769	0
WBGene00001770	1
WBGene00001771	1
WBGene00001772	0
WBGene00001773	2
